manufacturer,made_in,fx,type,jacks_mounted_on,bypass,battery,voltage,polarity,circuit,tube_equipped,weight_in_kg,famous_users,width_in_cm,height_in_cm,depth_in_cm,gtin_14,additional_fx,based_on_famous_model,series,video,special_features,year,colour,serial_number,manufacturer_part_number,gtin_12,url,name
Colorsound,UK,Fuzz,Pedal,Top,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.65,Steve Hackett,12,4.2,22,,,Electro Harmonix Ram's Head Big Muff,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/supa-tonebender-1974/,Supa Tonebender (1974)
Marshall,UK,Fuzz,Pedal,Top,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.85,,10.2,8.2,23.7,,,,,,,1967,Grey,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/supa-fuzz/,SupaFuzz (1967)
Ibanez,Japan,Distortion,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.28,,5.1,5.5,9.3,04515276838098,,Ibanez SM9 Super Metal,Mini,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/distortion/super-metal-mini/,Super Metal Mini
Voodoo Lab,USA,Fuzz,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.66,,15.2,5.7,17.8,00813140001062,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/superfuzz/,Superfuzz
JHS Pedals,USA,Fuzz,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.38,,9.2,5.1,14.4,00650415212293,,univox super-fuzz,Legends Of Fuzz,,Mid Cut and Octave up Switches on side,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/supreme/,Supreme
Carl Martin,China,Tremolo,Pedal,Top,Buffered Bypass,No,9,Center Negative,Analog,No,0.35,,6,5,11.5,00852940000509,,,Vintage Series,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/tremolo/surf-trem/,Surf Trem
Mad Professor,Finland,Overdrive,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.34,"Jerry Donahue, Jeremy Freedman, Matt Schofield, Takaakira ""Taka"" Goto, Hideki ""Yoda"" Suematsu",7.9,6.1,13.7,06430033091197,,,Factory Series,,,,,"SHOD 15 07463, SHOD 17 08076",,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/sweet-honey-overdrive/,Sweet Honey Overdrive
Way Huge,USA,Fuzz,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.37,Wata,9.5,4.4,12.1,00710137104303,,Big Muff,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/swollen-pickle/,Swollen Pickle
BOSS,Malaysia,Synthesizer,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Digital,No,0.45,,7.3,5.9,12.9,04957054514389,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/guitar-synths/sy-1/,SY-1
TC Electronic,China,Vibrato,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.50,,7.4,5.8,13.2,04033653014908,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/vibe-and-phase-shifters/tailspin-vibrato/,Tailspin Vibrato
Tone City,China,Delay,Pedal,Sides,True Bypass,No,9,Center Negative,Hybrid,No,0.25,,4.2,5.2,9.3,06970131360042,,,Mini Pedals,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/delay/tape-machine-delay/,Tape Machine Delay
Clonewerk,Germany,Overdrive,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.24,,12,5,9.5,,Boost,Klon,,,,2020's,Silver,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/taurus/,Taurus
BOSS,Japan,Fuzz,Pedal,Sides,Buffered Bypass,Yes,"7, 9, 12",Center Negative,Analog,No,440,,7.3,5.9,12.9,04957054517533,,ToneBender,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/tb-2w/,TB-2W
BOSS,Taiwan,Delay,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Digital,No,0.43,,7.3,5.9,12.9,"00761294503294, 04957054503291",Ambient,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/delay/te-2-tera-echo/,TE-2 Tera Echo
EBS,China,Overdrive,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.30,,6.1,4.5,11,07332100421106,,,Blue Label,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/the-drive-boost-overdrive/,The Drive Boost/Overdrive
J. Rockett,USA,Overdrive,Pedal,Top,True Bypass,No,9,Center Negative,Analog,No,0.40,,5.8,5.5,10.1,00851236004481,,Dumble Overdrive Special,Tour,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/the-dude-v2/,The Dude V2
Marshall,UK,Overdrive,Pedal,Top,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.50,,10.7,5,12.4,,Distortion,,,,,1989,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/the-guvnor-1989/,The Guv’nor (1989)
RYRA,USA,Overdrive,Pedal,Top,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.24,,12,5,9.5,,Boost,Klon,,,,2010's,Gold,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/the-klone/,The Klone
TC Electronic,China,Delay,Pedal,Top,True Bypass,No,,Center Negative,Digital,No,0.50,,7.4,5.8,13.2,04033653014984,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/delay/the-prophet-digital-delay/,The Prophet Digital Delay
Solodallas,USA,Boost,Pedal,Top,True Bypass,No,9,Center Positive,Analog,No,0.30,,9.5,5.6,11.8,,,Schaffer-Vega Diversity System,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/the-schaffer-replica/,The Schaffer Replica
Aclam,Spain,Overdrive,Pedal,Top,True Bypass,No,9,Center Negative,Analog,No,0.42,,13.7,5.5,8.8,08436552764800,Boost,,,,Pickup Simulator,2020's,Purple,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/the-woman-tone/,The Woman Tone
TC Electronic,China,Flanger,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.50,,7.4,5.8,13.2,04033653014892,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/flanger/thunderstorm-flanger/,Thunderstorm Flanger
Höfner,,Delay,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.35,,11.7,3.6,9.2,04250358617672,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/delay/time-and-again/,Time and Again
Tone City,China,Reverb,Pedal,Sides,True Bypass,No,9,Center Negative,Digital,No,0.25,,4.2,5.2,9.3,06970131360165,,,Mini Pedals,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/reverb/tiny-spring-reverb/,Tiny Spring Reverb
Aguilar,USA,Compressor,Pedal,Top,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.49,,6.8,13.3,5.3,00824599001077,,,,,,2000s,Blue,,,,https://www.tonepedia.com/catalog/effects-and-pedals/compression-and-sustain/tlc-compressor/,TLC Compressor
Behringer,China,Amp Modeler,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Digital,No,0.3,,8.6,6.1,15.6,00689076112413,,Tech 21 GT2,Compact,,,,Blue,,,,https://www.tonepedia.com/catalog/effects-and-pedals/amp-modeling/tm300-tube-amp-modeler/,TM300 Tube Amp Modeler
Behringer,China,Overdrive,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,.3,,8.6,6.1,15.6,00689076111812,,,Compact,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/to800-vintage-tube-overdrive/,TO800 Vintage Tube Overdrive
Vox,UK,Fuzz,Pedal,Top,Buffered Bypass,Yes,9,,Analog,No,0.90,,10.5,6,21.5,,,,,,,1968,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/tone-bender-mk3-1968/,Tone Bender MK3 (1968)
Sola Sound,UK,Fuzz,Pedal,Top,Buffered Bypass,Yes,9,,Analog,No,0.6,"Noel Gallagher, Steve Hackett, Seasick Steve",90,40,21.5,,,,,,,1972,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/tone-bender-mk3-1972/,Tone Bender MK3 (1972)
Sola Sound,UK,Fuzz,Pedal,Top,Buffered Bypass,Yes,9,,Analog,No,0.60,,21.5,9,4,,,,,,,'90s,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/tone-bender-mk3-1990s/,Tone Bender MK3 (1990s)
Vox,Italy,Fuzz,Pedal,Top,True Bypass,Yes,9,,Analog,No,0.75,"Jimmy Page, Jimi Hendrix",11,8,21.6,,,,Tone Bender,,,1968,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/tone-bender-v828-1968/,Tone Bender V828 (1968)
Vox,Italy,Fuzz,Pedal,Top,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.75,"Jimmy Page, Jimi Hendrix",11,8,21.6,,,,Tone Bender,,,1968,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/tone-bender-v828-1968-2/,Tone Bender V828 (1968)
Sola Sound,UK,Fuzz,Pedal,Top,Buffered Bypass,Yes,9,,Analog,No,0.90,,10.5,6,21.5,,,,,,2 Transistors instead of 3,1966,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/tonebender-mk1-5-1966/,Tonebender MK1.5 (1966)
BOSS,Taiwan,Tremolo,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Digital,No,0.40,"Eric Clapton, Billie Joe Armstrong, Tom Morello, Dan Auerbach, Noel Gallagher, Jonny Buckland",7.3,5.9,12.9,"00761294042656, 04957054042653",,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/tremolo/tr-2-tremolo/,TR-2 Tremolo
Höfner,,Treble Booster,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.35,,11.7,9.2,3.6,04250358617665,,Dallas Rangemaster,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/treble-boost/,Treble Boost
Voodoo Lab,USA,Tremolo,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.66,,15.2,5.7,17.8,00813140001048,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/tremolo/tremolo-2/,Tremolo
Anasounds,France,Tremolo,Pedal,Top,True Bypass,No,9,Center Negative,Analog,No,0.50,,12,8,16,03760257570936,,,,,Spinner Expression Pedal,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/tremolo/tremolo/,Tremolo
Ibanez,Japan,Tremolo,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.28,,5.1,5.5,9.2,04549763250568,,,MINI Series,https://www.youtube.com/watch?v=u2lkqz9GPk4,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/tremolo/ibanez-tremolo-mini/,Tremolo Mini
Electro-Harmonix,,Fuzz,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.35,,7,5.3,11.4,00683274012162,Distortion,Electro-Harmonix Big Muff Pi V1,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/triangle-big-muff/,Triangle Big Muff
Diamond Pedals,Canada,Tremolo,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.45,,11.9,5.1,9.3,00799491184480,,,,,"Tap tempo and footswitchable double speed mode, User selectable waveforms (sharkfin, sinewave, square wave and ‘chop’)",,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/tremolo/trm1-tremolo/,TRM1 Tremolo
UAD,USA,Overdrive,Plugin,,,,,,Digital,No,,,,,,,,Ibanez Tubescreamer,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/ts-overdrive/,TS Overdrive
Ibanez,Japan,Overdrive,Pedal,Top,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.4,"John Mayer, Stevie Ray Vaughan, Mike McCready, Gary Moore, Brian Setzer",7,5.4,12.5,,,,10 Series,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/ts10/,TS10
Ibanez,Japan,Overdrive,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.58,"John Mayer, John Frusciante, James Hetfield, Stevie Ray Vaughan, George Harrison",6.5,5.3,12.5,,,,,,,1981,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/ts808-1981-jrc4558d/,TS808 (1981 – JRC4558D)
Ibanez,Japan,Overdrive,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.58,,6.5,12.5,5.3,,,,800 series,,TL4558P Chip,1981,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/ts808-1981-tl4558p/,TS808 (1981 – TL4558P)
Ibanez,Japan,Overdrive,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.30,,5.5,7,12,,,,800 series,,,1979,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/ts808-narrow-box-1979/,TS808 narrow box (1979)
Ibanez,Japan,Overdrive,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.50,Stevie Ray Vaughan,7,5.2,12.5,"04515110309388, 00606559309382",,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/ts808-tube-screamer/,TS808 Tube Screamer
Ibanez,Japan,Overdrive,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.57,,7.4,5,12.4,,,,9 series,,JRC2043DD Chip,1981,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/ts9-1981/,TS9 (1981)
Ibanez,Japan,Overdrive,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,5.7,,7.4,5.3,12.4,"04515110031159, 00606559031153",,Ibanez TS-808,Tube Screamer,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/ts9-tube-screamer/,TS9 Tube Screamer
Chandler Industries,USA,Overdrive,Pedal,Top,Buffered Bypass,No,12,Center Negative,Analog,Yes,1,"david Gilmour, Billy Gibbons, Eric Johnson, Joe Satriani",10.5,9,17.1,,,B.K Butler Tube Driver,,,,1988,Cream,207947,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/tube-driver-1988/,Tube Driver (1988)
TC Electronic,China,Overdrive,Pedal,Top,True Bypass,No,9,Center Negative,Analog,Yes,0.50,,7.4,5.8,13.2,04033653015295,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/tube-pilot-overdrive/,Tube Pilot Overdrive
Ibanez,Japan,Overdrive,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.28,,5.1,5.5,9.2,00887802121061,,TS-808,MINI Series,https://www.youtube.com/watch?v=qCvBD--rJQ8,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/ibanez-tube-screamer-mini-affordable-compact-tube-screamer/,Tube Screamer Mini
JAM Pedals,Greece,Overdrive,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.23,,6,3,11,"05214001611102, 04051463362125",,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/tubedreamer/,Tubedreamer
Wampler,USA,Overdrive,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.39,,3.8,3.8,8.9,00763815129143,,,,https://www.youtube.com/watch?v=FpGfCOKsvso,,,,,,857527003331,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/tumnus/,Tumnus
Höfner,,Overdrive,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.35,,11.7,3.6,9.2,04250358617658,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/twin-channel-overdrive/,Twin Channel Overdrive
Behringer,China,Chorus,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,.3,,8.6,6.1,15.6,00689076752473,,,Compact,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/chorus-and-vibrato/behringer-uc200-ultra-chorus/,UC200 Ultra Chorus
Behringer,China,Distortion,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,.3,,8.6,6.1,15.6,00689076752572,,BOSS MT-2,Compact,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/distortion/behringer-um300-ultra-metal/,UM300 Ultra Metal
EBS,China,Chorus,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.40,Jeff Berlin,7,3.5,11.5,07332100030209,,,,,Stereo Output,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/chorus-and-vibrato/unichorus-studio-edition/,UniChorus Studio Edition
Joyo,China,Distortion,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.24,,6.2,5.6,11.8,06943206702344,,Suhr Riot,30 series,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/distortion/us-dream/,US Dream
Anasounds,France,Delay,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.29,,6.4,5.9,11.8,03760257570066,Modulation,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/delay/utopia-analog-delay/,Utopia Analog Delay
Behringer,China,Vibrato,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,.3,,8.6,6.1,15.6,05052441563465,,,Compact,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/chorus-and-vibrato/uv300-ultra-vibrato-behringer-pedal/,UV300 Ultra Vibrato
Vox,Italy,Wah,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.9,,10.3,9.2,25.5,,,,,,,1970,Black,49803,,,https://www.tonepedia.com/catalog/effects-and-pedals/wahs-and-filters/v846-wah-1970/,V846 Wah (1970)
BOSS,Taiwan,Vibrato,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.45,,7.3,5.9,12.9,"04957054508654, 00761294508657",,,Waza Craft Series,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/vibe-and-phase-shifters/vb-2w-vibrato/,VB-2W Vibrato
Ibanez,Japan,Overdrive,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.43,,7,5.6,12,04549763194206,,,,,,,Green,,TSV808,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/vemuram-tsv808/,Vemuram TSV808
Schaller,Germany,Fuzz,Pedal,One side,Buffered Bypass,Yes,9,,Analog,No,0.45,,15,2.5,5,,,,,,,1966,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/verzerrer-fuzz/,Verzerrer Fuzz
Beetronics,USA,Fuzz,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.32,,6.3,5.7,11.4,00604947161208,Octaver,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/vezzpa/,Vezzpa
Diamond Pedals,Canada,Vibrato,Pedal,Sides,True Bypass,No,9,Center Positive,Analog,No,0.48,,12,5.4,12,00682500016837,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/vibe-and-phase-shifters/vib1-vibrato/,VIB1 Vibrato
Drybell,Croatia,Vibe,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.28,"Steve Stevens, Andy Susemihl",6,3.1,11.2,07426806174425,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/vibe-and-phase-shifters/vibe-machine/,Vibe Machine
TC Electronic,China,Rotary,Pedal,Top,Buffered Bypass,No,9,Center Negative,Digital,No,0.50,,7.4,5.8,13.2,04033653015301,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/vibe-and-phase-shifters/vibraclone-rotary/,Vibraclone Rotary
Darkglass Electronics,Finland,Overdrive,Pedal,Sides,Buffered Bypass,No,9,Center Negative,Analog,No,0.25,,7.5,4.5,11.3,"00881314190607, 00881314190577",,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/vintage-microtubes/,Vintage Microtubes
Harley Benton,China,Overdrive,Pedal,Sides,True Bypass,Yes,9,Center Negative,Digital,No,.3,,6.4,3.8,11.8,,,"Ibanez TS-9, Ibanez TS-808",,,,2010s,Green,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/harley-benton-vintage-overdrive/,Vintage Overdrive
TC Electronic,Thailand,Flanger,Pedal,Top,True Bypass,No,9,Center Negative,Digital,No,0.19,Steve Stevens,4.8,4.8,9.3,05706622019677,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/flanger/vortex-mini-flanger/,Vortex Mini Flanger
Walrus Audio,USA,Overdrive,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.26,Albert Hammond Jr,7.4,5.8,12.1,00852732006139,,,,,,,Green,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/voyager/,Voyager
Walrus Audio,USA,Overdrive,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.26,,6.6,5.8,12.1,00852732006566,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/warhorn-mid-range-overdrive/,Warhorn Mid-Range Overdrive
JAM Pedals,Greece,Chorus,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.30,,7.5,5.6,12,05214001611041,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/chorus-and-vibrato/waterfall/,Waterfall
JAM Pedals,Greece,Chorus,Pedal,Sides,True Bypass,No,,Center Negative,Analog,No,0.30,,7.5,5.6,12,05214001611263,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/chorus-and-vibrato/waterfall-bass/,Waterfall Bass
Earthquaker Devices,USA,Overdrive,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.28,,,,,00855755007275,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/westwood/,Westwood
red sun fx,Germany,Fuzz,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.30,"Jon Skibic, Guido Knollmann",10,11.6,5.2,,,Dallas Arbiter Fuzz Face,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/white-fuzz/,White Fuzz
Tone City,China,Distortion,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.25,,4.2,5.2,9.3,06970131360011,,,Mini Pedals,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/distortion/wild-fire-distortion/,Wild Fire Distortion
Aclam,Spain,Overdrive,Pedal,Top,Buffered Bypass,No,9,Center Negative,Analog,No,0.45,Pete Townsend,13.6,5.5,8.7,08436552763438,,Grampian 636 Spring Reverb Pre Amp,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/windmiller-drive/,Windmiller Drive
Wish,China,Overdrive,Pedal,Top,True Bypass,No,9,Center Negative,Analog,No,0.2,,12,3.5,9,,Boost,Klon,,,,2010's,Gold,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/wish-klon/,Wish Klon
KMA Audio Machines,Germany,Distortion,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.33,,9.2,5.3,11.8,00651650248856,,BOSS HM-2,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/distortion/wurm/,Wurm
Keeley,USA,"Delay, Reverb",Pedal,Top,True Bypass,No,9,Center Negative,Digital,No,0.45,,9.5,5,12,00854295005734,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/delay/caverns/?attribute_pa_colour=custom-art,Caverns
